Date,High,Low
2022-07-07,3910.6298828125,3858.85009765625
2022-07-08,3918.5,3869.340087890625
2022-07-11,3880.93994140625,3847.219970703125
2022-07-12,3873.409912109375,3802.360107421875
2022-07-13,3829.43994140625,3759.070068359375
2022-07-14,3796.409912109375,3721.56005859375
2022-07-15,3863.6201171875,3817.179931640625
2022-07-18,3902.43994140625,3818.6298828125
2022-07-19,3939.81005859375,3860.72998046875
2022-07-20,3974.1298828125,3922.030029296875
2022-07-21,3999.2900390625,3927.639892578125
2022-07-22,4012.43994140625,3938.860107421875
2022-07-25,3975.300048828125,3943.4599609375
2022-07-26,3953.219970703125,3910.739990234375
2022-07-27,4039.56005859375,3951.429931640625
2022-07-28,4078.949951171875,3992.969970703125
2022-07-29,4140.14990234375,4079.219970703125
2022-08-01,4144.9501953125,4096.02001953125
2022-08-02,4140.47021484375,4079.81005859375
2022-08-03,4167.66015625,4107.9599609375
2022-08-04,4161.2900390625,4135.419921875
2022-08-05,4151.580078125,4107.31005859375
2022-08-08,4186.6201171875,4128.97021484375
2022-08-09,4137.2998046875,4112.08984375
2022-08-10,4211.02978515625,4177.259765625
2022-08-11,4257.91015625,4201.41015625
2022-08-12,4280.47021484375,4219.77978515625
2022-08-15,4301.7900390625,4256.89990234375
2022-08-16,4325.27978515625,4277.77001953125
2022-08-17,4302.18017578125,4253.080078125
2022-08-18,4292.52978515625,4261.97998046875
2022-08-19,4266.31005859375,4218.7001953125
2022-08-22,4195.080078125,4129.85986328125
2022-08-23,4159.77001953125,4124.02978515625
2022-08-24,4156.56005859375,4119.97021484375
2022-08-25,4200.5400390625,4147.58984375
2022-08-26,4203.0400390625,4057.659912109375
2022-08-29,4062.989990234375,4017.419921875
2022-08-30,4044.97998046875,3965.2099609375
2022-08-31,4015.3701171875,3954.530029296875
2022-09-01,3970.22998046875,3903.64990234375
2022-09-02,4018.429931640625,3906.2099609375
2022-09-06,3942.550048828125,3886.75
2022-09-07,3987.889892578125,3906.030029296875
2022-09-08,4010.5,3944.81005859375
2022-09-09,4076.81005859375,4022.93994140625
2022-09-12,4119.27978515625,4083.669921875
2022-09-13,4037.1201171875,3921.280029296875
2022-09-14,3961.93994140625,3912.179931640625
2022-09-15,3959.139892578125,3888.280029296875
2022-09-16,3880.949951171875,3837.080078125
2022-09-19,3900.449951171875,3838.5
2022-09-20,3876.010009765625,3827.5400390625
2022-09-21,3907.070068359375,3789.489990234375
2022-09-22,3790.89990234375,3749.449951171875
2022-09-23,3727.139892578125,3647.469970703125
2022-09-26,3715.669921875,3644.760009765625
2022-09-27,3717.530029296875,3623.2900390625
2022-09-28,3736.739990234375,3640.610107421875
2022-09-29,3687.010009765625,3610.39990234375
2022-09-30,3671.43994140625,3584.1298828125
2022-10-03,3698.35009765625,3604.929931640625
2022-10-04,3791.919921875,3726.4599609375
2022-10-05,3806.909912109375,3722.659912109375
2022-10-06,3797.929931640625,3739.219970703125
2022-10-07,3706.739990234375,3620.72998046875
2022-10-10,3652.169921875,3588.10009765625
2022-10-11,3640.659912109375,3568.449951171875
2022-10-12,3608.340087890625,3573.860107421875
2022-10-13,3685.409912109375,3491.580078125
2022-10-14,3712.0,3579.679931640625
2022-10-17,3689.72998046875,3638.64990234375
2022-10-18,3762.7900390625,3686.530029296875
2022-10-19,3728.580078125,3666.510009765625
2022-10-20,3736.0,3656.43994140625
2022-10-21,3757.889892578125,3647.419921875
2022-10-24,3810.739990234375,3741.64990234375
2022-10-25,3862.85009765625,3799.43994140625
2022-10-26,3886.14990234375,3824.070068359375
2022-10-27,3859.949951171875,3803.7900390625
2022-10-28,3905.419921875,3808.260009765625
